Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.AreaChartTest,14,27,100.00%,0,1,93,0,31,6
org.jfree.chart.AreaChartTest.LocalListener,3,9,100.00%,0,1,16,0,1,1
org.jfree.chart.BarChartTest,14,28,100.00%,0,1,94,0,31,6
org.jfree.chart.BarChartTest.LocalListener,3,9,100.00%,0,1,16,0,1,1
org.jfree.chart.ChartColor,1,44,100.00%,0,1,111,0,3,2
org.jfree.chart.ChartElement,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartFactory,121,834,100.00%,0,1,"1,741",0,176,131
org.jfree.chart.ChartHints,3,16,0.00%,0,0,22,0,2,1
org.jfree.chart.ChartHints.Key,1,17,100.00%,0,1,34,0,5,5
org.jfree.chart.ChartRenderingInfo,41,99,92.31%,0,1,184,0,28,21
org.jfree.chart.ChartRenderingInfoTest,7,17,100.00%,0,4,74,0,26,4
org.jfree.chart.ChartTheme,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.ChartTransferable,2,95,100.00%,0,1,187,0,18,13
org.jfree.chart.ChartUtils,14,358,100.00%,0,9,573,0,58,32
org.jfree.chart.Drawable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.GanttChartTest,14,47,100.00%,0,1,192,0,38,9
org.jfree.chart.GanttChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.JFreeChart,120,682,97.26%,0,1,"1,401",0,194,157
org.jfree.chart.JFreeChartTest,19,80,100.00%,0,10,348,0,70,14
org.jfree.chart.LegendItemCollectionTest,4,13,100.00%,0,2,59,0,20,3
org.jfree.chart.LegendItemTest,5,23,100.00%,0,2,265,0,30,4
org.jfree.chart.LineChartTest,13,28,100.00%,0,1,89,0,30,6
org.jfree.chart.LineChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.MeterChartTest,5,8,100.00%,0,1,21,0,12,1
org.jfree.chart.PieChartTest,5,17,100.00%,0,1,40,0,12,3
org.jfree.chart.PieChartTest.LocalListener,3,9,100.00%,0,1,16,0,1,1
org.jfree.chart.ScatterPlotTest,12,24,100.00%,0,1,83,0,29,5
org.jfree.chart.ScatterPlotTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.StackedAreaChartTest,14,27,100.00%,0,1,90,0,31,6
org.jfree.chart.StackedAreaChartTest.LocalListener,3,9,100.00%,0,1,16,0,1,1
org.jfree.chart.StackedBarChartTest,13,27,100.00%,0,1,93,0,31,6
org.jfree.chart.StackedBarChartTest.LocalListener,3,9,100.00%,0,1,16,0,1,1
org.jfree.chart.StandardChartTheme,57,662,98.92%,0,4,"1,547",1,238,200
org.jfree.chart.StandardChartThemeTest,7,41,100.00%,0,3,185,0,47,3
org.jfree.chart.TestUtils,301,34,100.00%,0,3,130,0,46,5
org.jfree.chart.TimeSeriesChartTest,12,24,100.00%,0,1,83,0,29,5
org.jfree.chart.TimeSeriesChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.WaterfallChartTest,11,25,100.00%,0,1,74,0,22,5
org.jfree.chart.XYAreaChartTest,12,24,100.00%,0,1,82,0,29,5
org.jfree.chart.XYAreaChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.XYBarChartTest,14,24,100.00%,0,1,84,0,30,5
org.jfree.chart.XYBarChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.XYLineChartTest,12,24,100.00%,0,1,83,0,29,5
org.jfree.chart.XYLineChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.XYStepAreaChartTest,12,24,100.00%,0,1,82,0,29,5
org.jfree.chart.XYStepAreaChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.XYStepChartTest,13,31,100.00%,0,1,93,0,29,5
org.jfree.chart.XYStepChartTest.LocalListener,3,10,100.00%,0,1,17,0,1,1
org.jfree.chart.annotations.AbstractAnnotation,20,95,100.00%,0,1,152,3,22,15
org.jfree.chart.annotations.AbstractXYAnnotation,18,74,100.00%,0,4,141,9,16,16
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.CategoryLineAnnotation,19,157,100.00%,0,1,329,0,50,29
org.jfree.chart.annotations.CategoryLineAnnotationTest,3,24,83.33%,0,2,123,0,25,6
org.jfree.chart.annotations.CategoryPointerAnnotation,18,208,100.00%,0,1,418,0,69,35
org.jfree.chart.annotations.CategoryPointerAnnotationTest,4,26,100.00%,0,1,114,0,27,5
org.jfree.chart.annotations.CategoryTextAnnotation,21,88,100.00%,0,1,195,1,41,19
org.jfree.chart.annotations.CategoryTextAnnotationTest,4,21,100.00%,0,5,76,0,19,5
org.jfree.chart.annotations.TextAnnotation,9,141,100.00%,0,6,263,1,32,25
org.jfree.chart.annotations.TextAnnotationTest,6,27,100.00%,0,4,110,0,21,5
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
org.jfree.chart.annotations.XYBoxAnnotation,13,131,100.00%,0,1,285,0,44,30
org.jfree.chart.annotations.XYBoxAnnotationTest,10,27,85.71%,0,1,151,0,32,7
org.jfree.chart.annotations.XYDataImageAnnotation,13,141,100.00%,0,2,282,0,38,28
org.jfree.chart.annotations.XYDrawableAnnotation,12,93,100.00%,0,1,220,0,33,21
org.jfree.chart.annotations.XYDrawableAnnotationTest,4,18,100.00%,0,5,91,0,18,5
org.jfree.chart.annotations.XYDrawableAnnotationTest.TestDrawable,2,21,100.00%,0,1,42,0,5,6
org.jfree.chart.annotations.XYImageAnnotation,12,102,100.00%,0,1,216,0,39,22
org.jfree.chart.annotations.XYImageAnnotationTest,0,76,100.00%,0,0,78,0,0,0
org.jfree.chart.annotations.XYLineAnnotation,15,116,100.00%,0,1,271,0,44,27
org.jfree.chart.annotations.XYLineAnnotationTest,3,18,71.43%,0,1,137,0,28,7
org.jfree.chart.annotations.XYPointerAnnotation,15,207,100.00%,0,1,432,0,77,37
org.jfree.chart.annotations.XYPointerAnnotationTest,4,26,100.00%,0,1,114,0,27,5
org.jfree.chart.annotations.XYPolygonAnnotation,15,115,100.00%,0,1,261,0,49,29
org.jfree.chart.annotations.XYPolygonAnnotationTest,3,19,100.00%,0,1,101,0,18,5
org.jfree.chart.annotations.XYShapeAnnotation,14,84,100.00%,0,1,211,0,48,21
org.jfree.chart.annotations.XYShapeAnnotationTest,3,22,100.00%,0,1,113,0,19,5
org.jfree.chart.annotations.XYTextAnnotation,23,266,100.00%,0,1,521,1,71,49
org.jfree.chart.annotations.XYTextAnnotationTest,4,26,100.00%,0,4,116,0,29,5
org.jfree.chart.annotations.XYTitleAnnotation,25,111,100.00%,0,1,298,0,56,36
org.jfree.chart.annotations.XYTitleAnnotationTest,10,20,100.00%,0,5,95,0,27,5
org.jfree.chart.api.HorizontalAlignment,12,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.api.Layer,8,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.api.LengthAdjustmentType,8,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.api.PublicCloneable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.api.RectangleAlignment,6,21,33.33%,0,3,98,n/a,14,14
org.jfree.chart.api.RectangleAlignmentTest,1,6,100.00%,0,1,48,0,4,1
org.jfree.chart.api.RectangleAnchor,29,30,50.00%,0,3,120,n/a,16,22
org.jfree.chart.api.RectangleEdge,100,38,66.67%,0,3,78,n/a,10,14
org.jfree.chart.api.RectangleInsets,65,211,100.00%,0,1,452,0,38,57
org.jfree.chart.api.Rotation,5,21,50.00%,0,3,32,n/a,4,2
org.jfree.chart.api.SortOrder,9,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.api.TableOrder,7,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.api.UnitType,7,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.api.VerticalAlignment,12,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.api.XYCoordinateType,1,12,0.00%,0,2,17,n/a,2,0
org.jfree.chart.axis.Axis,60,710,100.00%,0,7,"1,457",2,160,153
org.jfree.chart.axis.AxisCollection,5,43,100.00%,0,1,87,0,9,11
org.jfree.chart.axis.AxisLabelLocation,2,6,0.00%,0,2,11,n/a,2,0
org.jfree.chart.axis.AxisLocation,14,20,50.00%,0,3,44,n/a,6,7
org.jfree.chart.axis.AxisLocationTest,2,12,100.00%,0,1,39,0,8,3
org.jfree.chart.axis.AxisSpace,19,118,100.00%,0,1,301,0,34,43
org.jfree.chart.axis.AxisSpaceTest,1,12,100.00%,0,3,53,0,16,3
org.jfree.chart.axis.AxisState,24,74,100.00%,0,3,135,0,16,18
org.jfree.chart.axis.AxisTest,5,36,100.00%,0,2,187,0,45,4
org.jfree.chart.axis.CategoryAnchor,7,7,0.00%,0,2,12,n/a,2,0
org.jfree.chart.axis.CategoryAnchorTest,2,12,100.00%,0,1,38,0,9,3
org.jfree.chart.axis.CategoryAxis,76,535,100.00%,0,4,"1,225",2,169,134
org.jfree.chart.axis.CategoryAxisTest,3,33,100.00%,0,3,135,0,27,5
org.jfree.chart.axis.CategoryLabelPosition,9,95,100.00%,0,6,188,0,15,20
org.jfree.chart.axis.CategoryLabelPositionTest,6,12,100.00%,0,3,90,0,10,3
org.jfree.chart.axis.CategoryLabelPositions,10,134,100.00%,0,2,324,0,18,21
org.jfree.chart.axis.CategoryLabelPositionsTest,5,12,100.00%,0,2,120,0,11,3
org.jfree.chart.axis.CategoryLabelWidthType,5,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.axis.CategoryLabelWidthTypeTest,2,12,100.00%,0,1,37,0,8,3
