Complexity metrics,Wed., 19 Oct. 2022 19:19:32 EDT,
Class,OCavg,OCmax,WMC
org.jfree.chart.ChartColor,1,1,2
org.jfree.chart.ChartFactory,2.62,16,131
org.jfree.chart.ChartHints,1,1,1
org.jfree.chart.ChartHints.Key,2.5,4,5
org.jfree.chart.ChartRenderingInfo,1.62,6,21
org.jfree.chart.ChartTransferable,1.86,6,13
org.jfree.chart.ChartUtils,1.1,3,32
org.jfree.chart.JFreeChart,2.12,16,157
org.jfree.chart.StandardChartTheme,2.13,33,200
org.jfree.chart.annotations.AbstractAnnotation,1.36,3,15
org.jfree.chart.annotations.AbstractXYAnnotation,2,5,16
org.jfree.chart.annotations.CategoryLineAnnotation,1.53,9,29
org.jfree.chart.annotations.CategoryPointerAnnotation,1.52,12,35
org.jfree.chart.annotations.CategoryTextAnnotation,1.73,7,19
org.jfree.chart.annotations.TextAnnotation,1.47,9,25
org.jfree.chart.annotations.XYBoxAnnotation,1.88,11,30
org.jfree.chart.annotations.XYDataImageAnnotation,1.75,10,28
org.jfree.chart.annotations.XYDrawableAnnotation,1.91,10,21
org.jfree.chart.annotations.XYImageAnnotation,1.83,8,22
org.jfree.chart.annotations.XYLineAnnotation,1.93,10,27
org.jfree.chart.annotations.XYPointerAnnotation,1.61,11,37
org.jfree.chart.annotations.XYPolygonAnnotation,2.23,8,29
org.jfree.chart.annotations.XYShapeAnnotation,2.33,8,21
org.jfree.chart.annotations.XYTextAnnotation,1.58,15,49
org.jfree.chart.annotations.XYTitleAnnotation,2.4,13,36
org.jfree.chart.api.HorizontalAlignment,n/a,n/a,0
org.jfree.chart.api.Layer,n/a,n/a,0
org.jfree.chart.api.LengthAdjustmentType,n/a,n/a,0
org.jfree.chart.api.RectangleAlignment,14,14,14
org.jfree.chart.api.RectangleAnchor,11,11,22
org.jfree.chart.api.RectangleEdge,3.5,6,14
org.jfree.chart.api.RectangleInsets,1.97,8,57
org.jfree.chart.api.Rotation,1,1,2
org.jfree.chart.api.SortOrder,n/a,n/a,0
org.jfree.chart.api.TableOrder,n/a,n/a,0
org.jfree.chart.api.UnitType,n/a,n/a,0
org.jfree.chart.api.VerticalAlignment,n/a,n/a,0
org.jfree.chart.api.XYCoordinateType,n/a,n/a,0
org.jfree.chart.axis.Axis,2.07,27,153
org.jfree.chart.axis.AxisCollection,1.83,6,11
org.jfree.chart.axis.AxisLabelLocation,n/a,n/a,0
org.jfree.chart.axis.AxisLocation,3.5,6,7
org.jfree.chart.axis.AxisSpace,2.26,9,43
org.jfree.chart.axis.AxisState,1.38,6,18
org.jfree.chart.axis.CategoryAnchor,n/a,n/a,0
org.jfree.chart.axis.CategoryAxis,2.53,14,134
org.jfree.chart.axis.CategoryLabelPosition,1.67,9,20
org.jfree.chart.axis.CategoryLabelPositions,1.91,7,21
org.jfree.chart.axis.CategoryLabelWidthType,n/a,n/a,0
org.jfree.chart.axis.CategoryTick,1.83,6,11
org.jfree.chart.axis.CompassFormat,1.29,2,9
org.jfree.chart.axis.CyclicNumberAxis,3.53,24,120
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,1,1,1
org.jfree.chart.axis.DateAxis,3,26,153
org.jfree.chart.axis.DateAxis.DefaultTimeline,1.38,4,11
org.jfree.chart.axis.DateTick,1.6,4,8
org.jfree.chart.axis.DateTickMarkPosition,n/a,n/a,0
