Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.ChartColor,0,0,0,1,538,0,1
org.jfree.chart.ChartFactory,0,88,357,33,40,18,6
org.jfree.chart.ChartHints,0,1,1,2,537,1,2
org.jfree.chart.ChartHints.Key,0,0,0,1,538,0,1
org.jfree.chart.ChartRenderingInfo,1,5,11,37,561,4,11
org.jfree.chart.ChartTransferable,0,1,110,1,8,1,1
org.jfree.chart.ChartUtils,0,13,367,1,8,4,1
org.jfree.chart.JFreeChart,26,38,109,86,536,10,11
org.jfree.chart.StandardChartTheme,0,55,296,2,42,14,1
org.jfree.chart.annotations.AbstractAnnotation,0,4,110,16,73,2,1
org.jfree.chart.annotations.AbstractXYAnnotation,0,8,198,10,64,5,1
org.jfree.chart.annotations.CategoryLineAnnotation,0,17,195,2,2,7,2
org.jfree.chart.annotations.CategoryPointerAnnotation,0,17,197,1,1,8,1
org.jfree.chart.annotations.CategoryTextAnnotation,0,16,196,5,5,8,2
org.jfree.chart.annotations.TextAnnotation,0,6,111,3,6,3,1
org.jfree.chart.annotations.XYBoxAnnotation,0,12,199,1,1,5,1
org.jfree.chart.annotations.XYDataImageAnnotation,0,13,199,0,0,6,0
org.jfree.chart.annotations.XYDrawableAnnotation,0,11,199,1,1,6,1
org.jfree.chart.annotations.XYImageAnnotation,0,12,199,0,0,5,0
org.jfree.chart.annotations.XYLineAnnotation,0,14,200,1,1,5,1
org.jfree.chart.annotations.XYPointerAnnotation,0,14,200,1,1,6,1
org.jfree.chart.annotations.XYPolygonAnnotation,0,14,199,1,1,5,1
org.jfree.chart.annotations.XYShapeAnnotation,0,13,199,1,1,5,1
org.jfree.chart.annotations.XYTextAnnotation,0,15,199,8,49,6,4
org.jfree.chart.annotations.XYTitleAnnotation,0,24,200,1,1,10,1
org.jfree.chart.api.HorizontalAlignment,0,0,0,12,550,0,4
org.jfree.chart.api.Layer,0,0,0,8,196,0,3
org.jfree.chart.api.LengthAdjustmentType,0,0,0,8,559,0,4
org.jfree.chart.api.RectangleAlignment,0,1,1,5,538,1,3
org.jfree.chart.api.RectangleAnchor,0,2,3,27,560,2,12
org.jfree.chart.api.RectangleEdge,0,0,0,100,549,0,11
org.jfree.chart.api.RectangleInsets,0,3,3,62,558,2,14
org.jfree.chart.api.Rotation,0,0,0,5,50,0,2
org.jfree.chart.api.SortOrder,0,0,0,9,579,0,5
org.jfree.chart.api.TableOrder,0,0,0,7,48,0,4
org.jfree.chart.api.UnitType,0,0,0,7,559,0,5
org.jfree.chart.api.VerticalAlignment,0,0,0,12,539,0,4
org.jfree.chart.api.XYCoordinateType,0,0,0,1,2,0,1
org.jfree.chart.axis.Axis,26,22,109,40,536,9,8
org.jfree.chart.axis.AxisCollection,0,3,110,2,196,3,1
org.jfree.chart.axis.AxisLabelLocation,0,0,0,2,537,0,1
org.jfree.chart.axis.AxisLocation,0,1,1,13,537,1,4
org.jfree.chart.axis.AxisSpace,0,3,3,16,538,2,3
org.jfree.chart.axis.AxisState,0,3,6,21,537,3,2
org.jfree.chart.axis.CategoryAnchor,0,0,0,7,114,0,3
org.jfree.chart.axis.CategoryAxis,3,29,193,48,112,10,6
org.jfree.chart.axis.CategoryLabelPosition,0,5,7,4,116,4,1
org.jfree.chart.axis.CategoryLabelPositions,0,7,9,3,114,4,1
org.jfree.chart.axis.CategoryLabelWidthType,0,0,0,5,118,0,1
org.jfree.chart.axis.CategoryTick,0,4,15,2,114,2,1
org.jfree.chart.axis.CompassFormat,0,2,2,0,0,1,0
org.jfree.chart.axis.CyclicNumberAxis,0,21,123,2,2,6,2
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,0,2,6,1,3,2,1
org.jfree.chart.axis.DateAxis,0,26,139,4,43,7,3
org.jfree.chart.axis.DateAxis.DefaultTimeline,0,1,1,1,44,1,1
org.jfree.chart.axis.DateTick,0,4,5,3,45,3,1
org.jfree.chart.axis.DateTickMarkPosition,0,0,0,3,45,0,1
org.jfree.chart.axis.DateTickUnit,0,3,3,4,45,2,1
org.jfree.chart.axis.DateTickUnitType,0,0,0,4,46,0,1
org.jfree.chart.axis.ExtendedCategoryAxis,0,10,194,1,1,5,1
org.jfree.chart.axis.LogAxis,0,18,117,4,19,7,3
org.jfree.chart.axis.LogTick,0,3,5,2,231,2,1
org.jfree.chart.axis.LogarithmicAxis,0,11,122,2,2,5,1
org.jfree.chart.axis.MarkerAxisBand,1,7,121,2,100,5,1
org.jfree.chart.axis.ModuloAxis,0,6,122,1,1,4,1
org.jfree.chart.axis.MonthDateFormat,0,1,1,1,1,1,1
org.jfree.chart.axis.NumberAxis,1,21,121,56,100,7,10
org.jfree.chart.axis.NumberTick,0,3,5,8,108,2,3
org.jfree.chart.axis.NumberTickUnit,0,2,2,15,115,2,3
org.jfree.chart.axis.NumberTickUnitSource,0,3,4,2,102,1,1
org.jfree.chart.axis.PeriodAxis,0,22,132,2,44,7,2
org.jfree.chart.axis.PeriodAxisLabelInfo,0,4,21,4,46,3,2
org.jfree.chart.axis.QuarterDateFormat,0,1,1,1,1,1,1
org.jfree.chart.axis.StandardTickUnitSource,0,3,4,1,1,1,1
org.jfree.chart.axis.SubCategoryAxis,0,15,194,2,43,8,2
org.jfree.chart.axis.SymbolAxis,0,18,122,2,44,6,2
org.jfree.chart.axis.Tick,0,2,2,13,544,2,2
org.jfree.chart.axis.TickType,0,0,0,12,543,0,2
org.jfree.chart.axis.TickUnit,0,0,0,15,241,0,3
org.jfree.chart.axis.TickUnits,0,3,4,2,45,1,1
org.jfree.chart.axis.ValueAxis,0,17,113,120,230,7,10
org.jfree.chart.axis.ValueTick,0,3,4,12,542,2,3
org.jfree.chart.block.AbstractBlock,0,10,15,20,549,4,5
org.jfree.chart.block.BlockBorder,0,5,8,4,550,3,2
org.jfree.chart.block.BlockContainer,2,13,30,14,544,4,4
org.jfree.chart.block.BlockParams,0,1,1,2,537,1,2
org.jfree.chart.block.BlockResult,0,2,9,5,546,2,3
org.jfree.chart.block.BorderArrangement,2,9,30,4,544,3,3
org.jfree.chart.block.CenterArrangement,0,7,31,1,537,2,1
org.jfree.chart.block.ColorBlock,0,7,18,1,1,2,1
org.jfree.chart.block.ColumnArrangement,0,9,33,3,537,3,2
org.jfree.chart.block.EmptyBlock,0,5,18,5,5,2,1
org.jfree.chart.block.FlowArrangement,0,9,33,3,537,3,2
org.jfree.chart.block.GridArrangement,0,7,31,1,1,2,1
org.jfree.chart.block.LabelBlock,0,16,37,3,537,5,3
org.jfree.chart.block.LengthConstraintType,0,0,0,14,553,0,4
org.jfree.chart.block.LineBorder,0,5,8,1,1,3,1
org.jfree.chart.block.RectangleConstraint,0,4,5,24,552,3,5
org.jfree.chart.block.Size2D,0,1,1,32,575,1,9
org.jfree.chart.date.SerialDate,1,3,3,6,98,1,2
org.jfree.chart.date.SpreadsheetDate,1,2,3,1,98,1,1
