Javadoc coverage metrics,Wed., 19 Oct. 2022 18:53:36 EDT,
Class,Jf,JLOC,Jm
org.jfree.chart.ChartColor,100.00%,44,100.00%
org.jfree.chart.ChartFactory,100.00%,825,100.00%
org.jfree.chart.ChartHints,100.00%,15,0.00%
org.jfree.chart.ChartHints.Key,100.00%,17,100.00%
org.jfree.chart.ChartRenderingInfo,100.00%,99,92.31%
org.jfree.chart.ChartTransferable,100.00%,88,100.00%
org.jfree.chart.ChartUtils,100.00%,347,100.00%
org.jfree.chart.JFreeChart,100.00%,661,97.26%
org.jfree.chart.StandardChartTheme,100.00%,643,98.92%
org.jfree.chart.annotations.AbstractAnnotation,100.00%,95,100.00%
org.jfree.chart.annotations.AbstractXYAnnotation,100.00%,74,100.00%
org.jfree.chart.annotations.CategoryLineAnnotation,100.00%,155,100.00%
org.jfree.chart.annotations.CategoryPointerAnnotation,100.00%,205,100.00%
org.jfree.chart.annotations.CategoryTextAnnotation,100.00%,88,100.00%
org.jfree.chart.annotations.TextAnnotation,100.00%,139,100.00%
org.jfree.chart.annotations.XYBoxAnnotation,100.00%,130,100.00%
org.jfree.chart.annotations.XYDataImageAnnotation,100.00%,134,100.00%
org.jfree.chart.annotations.XYDrawableAnnotation,100.00%,88,100.00%
org.jfree.chart.annotations.XYImageAnnotation,100.00%,98,100.00%
org.jfree.chart.annotations.XYLineAnnotation,100.00%,114,100.00%
org.jfree.chart.annotations.XYPointerAnnotation,100.00%,206,100.00%
org.jfree.chart.annotations.XYPolygonAnnotation,100.00%,112,100.00%
org.jfree.chart.annotations.XYShapeAnnotation,100.00%,79,100.00%
org.jfree.chart.annotations.XYTextAnnotation,100.00%,265,100.00%
org.jfree.chart.annotations.XYTitleAnnotation,100.00%,111,100.00%
org.jfree.chart.api.HorizontalAlignment,100.00%,7,0.00%
org.jfree.chart.api.Layer,100.00%,5,0.00%
org.jfree.chart.api.LengthAdjustmentType,100.00%,7,0.00%
org.jfree.chart.api.RectangleAlignment,100.00%,21,33.33%
org.jfree.chart.api.RectangleAnchor,100.00%,30,50.00%
org.jfree.chart.api.RectangleEdge,100.00%,38,66.67%
org.jfree.chart.api.RectangleInsets,100.00%,211,100.00%
org.jfree.chart.api.Rotation,100.00%,21,50.00%
org.jfree.chart.api.SortOrder,100.00%,5,0.00%
org.jfree.chart.api.TableOrder,100.00%,5,0.00%
org.jfree.chart.api.UnitType,100.00%,5,0.00%
org.jfree.chart.api.VerticalAlignment,100.00%,7,0.00%
org.jfree.chart.api.XYCoordinateType,100.00%,12,0.00%
org.jfree.chart.axis.Axis,100.00%,706,100.00%
org.jfree.chart.axis.AxisCollection,100.00%,43,100.00%
org.jfree.chart.axis.AxisLabelLocation,100.00%,6,0.00%
org.jfree.chart.axis.AxisLocation,100.00%,20,50.00%
org.jfree.chart.axis.AxisSpace,100.00%,118,100.00%
org.jfree.chart.axis.AxisState,100.00%,74,100.00%
org.jfree.chart.axis.CategoryAnchor,100.00%,7,0.00%
org.jfree.chart.axis.CategoryAxis,100.00%,523,100.00%
org.jfree.chart.axis.CategoryLabelPosition,100.00%,93,100.00%
org.jfree.chart.axis.CategoryLabelPositions,100.00%,114,100.00%
org.jfree.chart.axis.CategoryLabelWidthType,100.00%,5,0.00%
org.jfree.chart.axis.CategoryTick,100.00%,42,100.00%
org.jfree.chart.axis.CompassFormat,100.00%,56,100.00%
org.jfree.chart.axis.CyclicNumberAxis,81.82%,337,100.00%
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,100.00%,17,100.00%
org.jfree.chart.axis.DateAxis,100.00%,454,100.00%
org.jfree.chart.axis.DateAxis.DefaultTimeline,100.00%,67,100.00%
org.jfree.chart.axis.DateTick,100.00%,42,100.00%
org.jfree.chart.axis.DateTickMarkPosition,100.00%,7,0.00%
org.jfree.chart.axis.DateTickUnit,100.00%,134,100.00%
org.jfree.chart.axis.DateTickUnitType,100.00%,21,50.00%
org.jfree.chart.axis.ExtendedCategoryAxis,100.00%,89,100.00%
org.jfree.chart.axis.LogAxis,100.00%,343,95.00%
org.jfree.chart.axis.LogTick,100.00%,19,100.00%
org.jfree.chart.axis.LogarithmicAxis,100.00%,247,100.00%
org.jfree.chart.axis.MarkerAxisBand,100.00%,63,100.00%
org.jfree.chart.axis.ModuloAxis,100.00%,148,100.00%
org.jfree.chart.axis.MonthDateFormat,100.00%,94,100.00%
org.jfree.chart.axis.NumberAxis,100.00%,370,100.00%
org.jfree.chart.axis.NumberTick,100.00%,30,100.00%
org.jfree.chart.axis.NumberTickUnit,100.00%,49,100.00%
org.jfree.chart.axis.NumberTickUnitSource,10.00%,20,25.00%
org.jfree.chart.axis.PeriodAxis,100.00%,375,100.00%
org.jfree.chart.axis.PeriodAxisLabelInfo,100.00%,126,100.00%
org.jfree.chart.axis.QuarterDateFormat,100.00%,58,100.00%
org.jfree.chart.axis.StandardTickUnitSource,100.00%,45,100.00%
org.jfree.chart.axis.SubCategoryAxis,100.00%,125,100.00%
org.jfree.chart.axis.SymbolAxis,100.00%,214,100.00%
org.jfree.chart.axis.Tick,100.00%,57,100.00%
org.jfree.chart.axis.TickType,100.00%,5,0.00%
org.jfree.chart.axis.TickUnit,100.00%,68,100.00%
org.jfree.chart.axis.TickUnits,100.00%,69,100.00%
org.jfree.chart.axis.ValueAxis,100.00%,706,100.00%
org.jfree.chart.axis.ValueTick,100.00%,46,100.00%
org.jfree.chart.block.AbstractBlock,100.00%,288,92.11%
org.jfree.chart.block.BlockBorder,100.00%,76,100.00%
