Class,Jm,CBO,LCOM,NOC,RFC,WMC,CLOC/LOC,JTA
org.jfree.chart.ChartColor,100.00%,1,1,0,3,2,0.396396396,0
org.jfree.chart.ChartFactory,100.00%,121,1,0,176,131,0.479035037,0
org.jfree.chart.ChartHints,0.00%,3,0,0,2,1,0.727272727,0
org.jfree.chart.ChartHints.Key,100.00%,1,1,0,5,5,0.5,0
org.jfree.chart.ChartRenderingInfo,92.31%,41,1,0,28,21,0.538043478,0
org.jfree.chart.ChartTransferable,100.00%,2,1,0,18,13,0.50802139,0
org.jfree.chart.ChartUtils,100.00%,14,9,0,58,32,0.62478185,0
org.jfree.chart.JFreeChart,97.26%,120,1,0,194,157,0.486795146,0
org.jfree.chart.StandardChartTheme,98.92%,57,4,1,238,200,0.427925016,0
org.jfree.chart.annotations.AbstractAnnotation,100.00%,20,1,3,22,15,0.625,0
org.jfree.chart.annotations.AbstractXYAnnotation,100.00%,18,4,9,16,16,0.524822695,0
org.jfree.chart.annotations.CategoryLineAnnotation,100.00%,19,1,0,50,29,0.477203647,0
org.jfree.chart.annotations.CategoryPointerAnnotation,100.00%,18,1,0,69,35,0.497607656,0
org.jfree.chart.annotations.CategoryTextAnnotation,100.00%,21,1,1,41,19,0.451282051,0
org.jfree.chart.annotations.TextAnnotation,100.00%,9,6,1,32,25,0.536121673,0
org.jfree.chart.annotations.XYBoxAnnotation,100.00%,13,1,0,44,30,0.459649123,0
org.jfree.chart.annotations.XYDataImageAnnotation,100.00%,13,2,0,38,28,0.5,0
org.jfree.chart.annotations.XYDrawableAnnotation,100.00%,12,1,0,33,21,0.422727273,0
org.jfree.chart.annotations.XYImageAnnotation,100.00%,12,1,0,39,22,0.472222222,0
org.jfree.chart.annotations.XYLineAnnotation,100.00%,15,1,0,44,27,0.42804428,0
org.jfree.chart.annotations.XYPointerAnnotation,100.00%,15,1,0,77,37,0.479166667,0
org.jfree.chart.annotations.XYPolygonAnnotation,100.00%,15,1,0,49,29,0.440613027,0
org.jfree.chart.annotations.XYShapeAnnotation,100.00%,14,1,0,48,21,0.398104265,0
org.jfree.chart.annotations.XYTextAnnotation,100.00%,23,1,1,71,49,0.510556622,0
org.jfree.chart.annotations.XYTitleAnnotation,100.00%,25,1,0,56,36,0.372483221,0
org.jfree.chart.api.HorizontalAlignment,0.00%,12,2,n/a,2,0,0.583333333,0
org.jfree.chart.api.Layer,0.00%,8,2,n/a,2,0,0.555555556,0
org.jfree.chart.api.LengthAdjustmentType,0.00%,8,2,n/a,2,0,0.583333333,0
org.jfree.chart.api.RectangleAlignment,33.33%,6,3,n/a,14,14,0.214285714,0
org.jfree.chart.api.RectangleAnchor,50.00%,29,3,n/a,16,22,0.25,0
org.jfree.chart.api.RectangleEdge,66.67%,100,3,n/a,10,14,0.487179487,0
org.jfree.chart.api.RectangleInsets,100.00%,65,1,0,38,57,0.466814159,0
org.jfree.chart.api.Rotation,50.00%,5,3,n/a,4,2,0.65625,0
org.jfree.chart.api.SortOrder,0.00%,9,2,n/a,2,0,0.555555556,0
org.jfree.chart.api.TableOrder,0.00%,7,2,n/a,2,0,0.555555556,0
org.jfree.chart.api.UnitType,0.00%,7,2,n/a,2,0,0.555555556,0
org.jfree.chart.api.VerticalAlignment,0.00%,12,2,n/a,2,0,0.583333333,0
org.jfree.chart.api.XYCoordinateType,0.00%,1,2,n/a,2,0,0.705882353,0
org.jfree.chart.axis.Axis,100.00%,60,7,2,160,153,0.487302677,0
org.jfree.chart.axis.AxisCollection,100.00%,5,1,0,9,11,0.494252874,0
org.jfree.chart.axis.AxisLabelLocation,0.00%,2,2,n/a,2,0,0.545454545,0
org.jfree.chart.axis.AxisLocation,50.00%,14,3,n/a,6,7,0.454545455,0
org.jfree.chart.axis.AxisSpace,100.00%,19,1,0,34,43,0.392026578,0
org.jfree.chart.axis.AxisState,100.00%,24,3,0,16,18,0.548148148,0
org.jfree.chart.axis.CategoryAnchor,0.00%,7,2,n/a,2,0,0.583333333,0
org.jfree.chart.axis.CategoryAxis,100.00%,76,4,2,169,134,0.436734694,0
org.jfree.chart.axis.CategoryLabelPosition,100.00%,9,6,0,15,20,0.505319149,0
org.jfree.chart.axis.CategoryLabelPositions,100.00%,10,2,0,18,21,0.413580247,0
org.jfree.chart.axis.CategoryLabelWidthType,0.00%,5,2,n/a,2,0,0.555555556,0
org.jfree.chart.axis.CategoryTick,100.00%,6,3,0,12,11,0.456521739,0
org.jfree.chart.axis.CompassFormat,100.00%,2,2,0,12,9,0.565656566,0
org.jfree.chart.axis.CyclicNumberAxis,100.00%,23,3,0,105,120,0.356548857,0
org.jfree.chart.axis.CyclicNumberAxis.CycleBoundTick,100.00%,3,0,0,2,1,0.653846154,0
org.jfree.chart.axis.DateAxis,100.00%,30,1,1,168,153,0.334902488,0
org.jfree.chart.axis.DateAxis.DefaultTimeline,100.00%,2,7,0,9,11,0.609090909,0
org.jfree.chart.axis.DateTick,100.00%,7,1,0,11,8,0.53164557,0
org.jfree.chart.axis.DateTickMarkPosition,0.00%,3,2,n/a,2,0,0.583333333,0
org.jfree.chart.axis.DateTickUnit,100.00%,7,4,0,35,32,0.518248175,0
org.jfree.chart.axis.DateTickUnitType,50.00%,4,3,n/a,4,2,0.567567568,0
org.jfree.chart.axis.ExtendedCategoryAxis,100.00%,11,1,0,35,20,0.502824859,0
org.jfree.chart.axis.LogAxis,95.00%,22,1,0,129,97,0.406181015,0
org.jfree.chart.axis.LogTick,100.00%,5,1,0,3,2,0.633333333,0
org.jfree.chart.axis.LogarithmicAxis,100.00%,13,1,1,70,114,0.463414634,0
org.jfree.chart.axis.MarkerAxisBand,100.00%,8,1,0,43,18,0.338709677,0
org.jfree.chart.axis.ModuloAxis,100.00%,7,1,0,38,40,0.424581006,0
org.jfree.chart.axis.MonthDateFormat,100.00%,2,2,0,28,19,0.535911602,0
org.jfree.chart.axis.NumberAxis,100.00%,76,9,4,123,112,0.408290155,0
org.jfree.chart.axis.NumberTick,100.00%,11,1,1,6,3,0.638297872,0
org.jfree.chart.axis.NumberTickUnit,100.00%,17,1,0,17,12,0.49,0
org.jfree.chart.axis.NumberTickUnitSource,25.00%,5,1,0,24,39,0.126436782,0
org.jfree.chart.axis.PeriodAxis,100.00%,24,1,0,155,115,0.384765625,0
org.jfree.chart.axis.PeriodAxisLabelInfo,100.00%,8,8,0,36,26,0.477443609,0
org.jfree.chart.axis.QuarterDateFormat,100.00%,2,2,0,17,12,0.469230769,0
org.jfree.chart.axis.StandardTickUnitSource,100.00%,4,1,0,13,7,0.555555556,0
org.jfree.chart.axis.SubCategoryAxis,100.00%,17,1,0,69,40,0.377906977,0
org.jfree.chart.axis.SymbolAxis,100.00%,20,2,0,87,69,0.366720517,0
org.jfree.chart.axis.Tick,100.00%,15,4,2,11,14,0.487179487,0
org.jfree.chart.axis.TickType,0.00%,12,2,n/a,2,0,0.555555556,0
org.jfree.chart.axis.TickUnit,100.00%,15,3,2,10,16,0.523076923,0
org.jfree.chart.axis.TickUnits,100.00%,5,1,0,22,14,0.511111111,0
org.jfree.chart.axis.ValueAxis,100.00%,137,7,4,163,163,0.490424077,0
org.jfree.chart.axis.ValueTick,100.00%,15,2,3,8,9,0.534883721,0
org.jfree.chart.block.AbstractBlock,92.11%,30,3,6,77,55,0.542910448,0
org.jfree.chart.block.BlockBorder,100.00%,9,1,0,31,19,0.469879518,0
org.jfree.chart.block.BlockContainer,93.33%,25,1,1,48,26,0.449275362,0
org.jfree.chart.block.BlockParams,100.00%,3,3,0,7,7,0.658823529,0
org.jfree.chart.block.BlockResult,100.00%,7,1,0,3,3,0.580645161,0
org.jfree.chart.block.BorderArrangement,100.00%,12,1,0,40,71,0.202558635,0
org.jfree.chart.block.CenterArrangement,100.00%,8,3,0,33,31,0.484615385,0
org.jfree.chart.block.ColorBlock,100.00%,8,2,0,31,12,0.527131783,0
org.jfree.chart.block.ColumnArrangement,100.00%,12,3,0,38,42,0.367412141,0
org.jfree.chart.block.EmptyBlock,100.00%,10,2,0,16,5,0.605633803,0
org.jfree.chart.block.FlowArrangement,100.00%,12,3,0,40,46,0.388586957,0
org.jfree.chart.block.GridArrangement,100.00%,8,3,0,38,51,0.355978261,0
org.jfree.chart.block.LabelBlock,100.00%,19,1,0,59,34,0.518404908,0
org.jfree.chart.block.LengthConstraintType,0.00%,14,2,n/a,2,0,0.545454545,0
org.jfree.chart.block.LineBorder,100.00%,6,1,0,36,19,0.378881988,0
org.jfree.chart.block.RectangleConstraint,100.00%,28,1,0,24,33,0.482269504,0
org.jfree.chart.block.Size2D,100.00%,33,2,0,12,14,0.529411765,0
org.jfree.chart.date.SerialDate,100.00%,8,16,1,65,78,0.571779141,0
org.jfree.chart.date.SpreadsheetDate,100.00%,2,3,0,30,34,0.53133515,0
org.jfree.chart.encoders.EncoderUtil,100.00%,3,8,0,14,8,0.634328358,0
org.jfree.chart.encoders.ImageEncoderFactory,100.00%,2,1,0,17,8,0.489583333,0
org.jfree.chart.encoders.SunJPEGEncoderAdapter,100.00%,2,3,0,23,8,0.568807339,0
org.jfree.chart.encoders.SunPNGEncoderAdapter,100.00%,3,5,0,10,6,0.613333333,0
org.jfree.chart.entity.AxisEntity,100.00%,5,1,0,28,16,0.52739726,0
