Class,CBO,LCOM,NOC,RFC,WMC,CLOC/LOC,jm,JTA
org.jfree.chart.ChartColor,1,1,0,3,2,0.396396396,1.0000000,0
org.jfree.chart.ChartElement,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.ChartElementVisitor,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.ChartFactory,121,1,0,176,131,0.479035037,1.0000000,0
org.jfree.chart.ChartHints,3,0,0,2,1,0.727272727,0.0000000,0
org.jfree.chart.ChartHints.Key,1,1,0,5,5,0.5,1.0000000,0
org.jfree.chart.ChartRenderingInfo,41,1,0,28,21,0.538043478,0.9231000,0
org.jfree.chart.ChartTheme,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.ChartTransferable,2,1,0,18,13,0.50802139,1.0000000,0
org.jfree.chart.ChartUtils,14,9,0,58,32,0.62478185,1.0000000,0
org.jfree.chart.Drawable,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.JFreeChart,120,1,0,194,157,0.486795146,0.9726000,0
org.jfree.chart.StandardChartTheme,57,4,1,238,200,0.427925016,0.9892000,0
org.jfree.chart.annotations.AbstractAnnotation,20,1,3,22,15,0.625,1.0000000,0
org.jfree.chart.annotations.AbstractXYAnnotation,18,4,9,16,16,0.524822695,1.0000000,0
org.jfree.chart.annotations.Annotation,n/a,n/a,n/a,2,n/a,#N/A,#N/A,#N/A
org.jfree.chart.annotations.CategoryAnnotation,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.annotations.CategoryLineAnnotation,19,1,0,50,29,0.477203647,1.0000000,0
org.jfree.chart.annotations.CategoryPointerAnnotation,18,1,0,69,35,0.497607656,1.0000000,0
org.jfree.chart.annotations.CategoryTextAnnotation,21,1,1,41,19,0.451282051,1.0000000,0
org.jfree.chart.annotations.TextAnnotation,9,6,1,32,25,0.536121673,1.0000000,0
org.jfree.chart.annotations.XYAnnotation,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A
org.jfree.chart.annotations.XYAnnotationBoundsInfo,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A
org.jfree.chart.annotations.XYBoxAnnotation,13,1,0,44,30,0.459649123,1.0000000,0
org.jfree.chart.annotations.XYDataImageAnnotation,13,2,0,38,28,0.5,1.0000000,0
org.jfree.chart.annotations.XYDrawableAnnotation,12,1,0,33,21,0.422727273,1.0000000,0
org.jfree.chart.annotations.XYImageAnnotation,12,1,0,39,22,0.472222222,1.0000000,0
org.jfree.chart.annotations.XYLineAnnotation,15,1,0,44,27,0.42804428,1.0000000,0
org.jfree.chart.annotations.XYPointerAnnotation,15,1,0,77,37,0.479166667,1.0000000,0
